day_utc	cost_usd	input	output	cache_write	cache_read
2026-07-14	3.8269	0	0	0	0
2026-07-15	8.3496	0	0	0	0
2026-07-16	8.3496	0	0	0	0
2026-07-17	8.3496	0	0	0	0
2026-07-18	8.3496	0	0	0	0
2026-07-19	8.3496	0	0	0	0
2026-07-20	5.9143	0	0	0	0
2026-07-21	18.3790	3210	114780	381230	26314250
2026-07-22	42.8626	5164	226732	867372	54907780
2026-07-23	40.7706	2031	119015	666988	34674948
2026-07-24	112.7093	36333	827353	3446265	94668427
2026-07-25	174.1129	48453	713369	3538197	285878371
2026-07-26	141.4574	14873	455907	1993044	221936779
2026-07-27	37.2241	5865	99111	850715	65554938
2026-07-28	139.7850	17125	481630	1161980	217387357
2026-07-29	95.5297	7529	261419	2407140	125144800
2026-07-30	280.3370	6752	506077	12031328	334361929
2026-07-31	422.2030	1276	439103	35313754	293761205
2026-08-01	108.2417	8300	428581	1563780	153871086
2026-08-02	142.4158	7717	487041	2230149	205203792
2026-08-03	225.7572	21905	921339	4005696	312553615
2026-08-04	21.2180	5023	121947	563093	26724799
2026-08-05	109.6478	4263	342367	1678636	163996193
2026-08-06	140.0786	31729	341334	2143041	219377803
2026-08-07	498.2642	2158	733527	20496588	600487603
2026-08-08	147.9687	5492	490203	2546313	219811172
2026-08-09	222.0981	16258	705430	4646411	307651305
2026-08-10	164.3573	4791	501290	4830359	215647174
2026-08-11	72.0400	2866	204536	1943157	100974375
2026-08-12	178.0343	67201	540795	4160439	247308120
2026-08-13	293.3582	46022	958480	5723241	396363142
2026-08-14	730.7372	68628	2351056	18916168	1073695169
2026-08-15	263.1189	34815	985293	2998182	414955517
2026-08-16	267.5501	29051	1099615	3729198	409821617
2026-08-17	176.4575	7215	591750	2711521	266436434
2026-08-18	80.3802	3112	219708	1473957	113252291
2026-08-19	65.8146	3062	108556	461538	66186516
2026-08-20	208.7249	4658	258249	822752	111787542
2026-08-21	401.0482	6708	349664	1452906	160923698
2026-08-22	567.4576	11102	1003660	4145273	222756989
2026-08-23	677.7440	53786	2203484	9278371	708127799
2026-08-24	216.4531	11819	1033476	4984740	224276027
2026-08-25	648.8141	22403	2250414	12597850	806830535
2026-08-26	196.3977	16022	908246	4541540	242936017
2026-08-27	230.7799	43119	1405478	5241624	262970804
2026-08-28	867.9008	134932	4974511	17921317	1004745256
2026-08-29	1940.4156	179990	9194586	45588822	1740921389
2026-08-30	1976.8885	170916	10335054	53723399	1817249582
2026-08-31	211.2099	24516	930061	4322814	260365488
2026-09-01	171.7625	24164	787312	3767240	222510116
2026-09-02	171.7625	24164	787312	3767240	222510116
2026-09-03	213.8809	43635	1105048	5814027	269315875
2026-09-04	283.0419	123097	1908053	8150987	313832330
2026-09-05	1174.8303	106647	6285416	26053749	1558470045
2026-09-06	1772.4641	84119	10367448	47816472	2167086510
2026-09-07	8.4665	118	46246	368181	7255842
