day_utc	cost_usd	credits	billed_usd	input	output	cache_write	cache_read
2026-06-20	0.8465	84.65	0.0000	113597	21772	0	2497024
2026-07-13	31.0073	3100.73	0.1743	578328	765025	3792240	66987087
2026-07-14	1.3637	136.37	0.0000	187890	23818	13766	3457237
2026-07-17	2.0368	203.68	0.0000	1208	21617	94279	4517963
2026-07-20	17.5873	1758.73	0.0000	761928	259806	1041314	29836663
2026-07-21	18.1157	1811.57	0.1386	2016827	258532	688965	39268617
2026-07-25	0.0161	1.61	0.0161	5909	522	0	1408
2026-08-03	0.1051	10.51	0.0000	34465	1403	0	143872
2026-08-04	5.0146	501.46	0.0000	53281	47505	374714	9344317
2026-08-06	0.7639	76.39	0.0000	7161	5993	99785	966163
2026-08-27	64.2432	6424.32	0.1534	1764	480820	3400290	99447894
